check,passed
scenario_s_purchase_price_increases,True
scenario_s_both_outputs_increase,True
scenario_s_retailer_profit_decreases,True
scenario_s_total_output_increases,True
scenario_s_green_share_decreases,True
scenario_s_retailer_profit_sd_decreases,True
scenario_c_thermal_output_decreases,True
scenario_c_green_output_increases,True
scenario_c_purchase_price_increases,True
scenario_c_thermal_and_retailer_profits_decrease,True
scenario_c_green_profit_increases,True
scenario_c_total_output_decreases,True
scenario_c_green_share_increases,True
scenario_c_thermal_profit_sd_decreases,True
finite_response_s_matches_closed_form,True
finite_response_c_thermal_matches_closed_form,True
finite_response_c_green_matches_closed_form,True
finite_response_c_total_matches_closed_form,True
retailer_profit_condition_holds_at_c_endpoints,True
