scenario,parameter,low_value,baseline_value,high_value,low_response,high_response,low_relative_to_baseline_pct,high_relative_to_baseline_pct
S,$\lambda$,0.075,0.15,0.225,31.540342298288483,61.16504854368934,-36.46220899330294,23.216547066272675
S,$\beta_t$,1.2,1.5,1.8,46.30872483221478,52.14105793450876,-6.711409395973167,5.037783375314708
S,$\beta_g$,1.6,2.0,2.4,47.09897610921505,51.49253731343284,-5.119453924914652,3.731343283582045
S,$p_g$,1.2,1.5,1.8,49.640287769784194,49.640287769784194,0.0,0.0
S,$p_s-c$,4.5,5.0,5.5,49.640287769784194,49.640287769784194,0.0,0.0
C,$\lambda$,0.075,0.15,0.225,11.628356190844125,24.49708368051422,-39.54699297058058,27.354403978822294
C,$\beta_t$,1.2,1.5,1.8,21.81926600531252,17.09347262920967,13.43307854935758,-11.13517645559946
C,$\beta_g$,1.6,2.0,2.4,18.078820404401796,20.023782222788466,-6.012592059103761,4.098793294869174
C,$p_g$,1.2,1.5,1.8,19.73840741518279,18.73134705852597,2.615198798186258,-2.6202640497749896
C,$a$,3.6,4.5,5.4,18.605516334440754,19.65476846145102,-3.274427503559618,2.1803801381024446
C,$b$,0.8,1.0,1.2,15.260025368328611,22.466422466422465,-20.666824637943858,16.797488226059578
