scenario,metric,direction,confirmation_rate_pct,feasible_samples,median_direction_adjusted_log_response,p05_direction_adjusted_log_response,p95_direction_adjusted_log_response
S,Thermal output,Increase,100.0,5000,52.64419190728961,30.426156205660117,64.69112081918284
S,Green output,Increase,100.0,5000,34.50021774568732,19.287220540379227,42.74746703632114
S,Total output,Increase,100.0,5000,43.037212058506995,24.333562934846512,51.963684889946286
S,Green share,Decrease,100.0,5000,8.030991397342113,4.820491217325241,11.258655235603856
S,Purchase price,Increase,100.0,5000,52.64419190728961,30.426156205660117,64.69112081918284
S,Thermal profit,Increase,100.0,5000,105.28838381457922,60.85231241132023,129.38224163836568
S,Green profit,Increase,100.0,5000,73.2391913527826,39.457633461798615,95.68623009005059
S,Retailer profit,Decrease,100.0,5000,34.14496811832746,7.893328892519238,62.42351753689945
C,Thermal output,Decrease,100.0,5000,86.72269154700791,36.86767763113632,134.75138218939117
C,Green output,Increase,100.0,5000,7.49284670334049,3.8357079783984194,10.897302048319672
C,Total output,Decrease,100.0,5000,24.272894902345833,12.1883300999378,34.508474001411656
C,Green share,Increase,100.0,5000,31.790385217105143,16.05571829562785,45.129449968637005
C,Purchase price,Increase,100.0,5000,11.159026524154612,5.773446309610196,15.991300150508808
C,Thermal profit,Decrease,100.0,5000,43.493812600648496,11.493093025408848,82.66576335979093
C,Green profit,Increase,100.0,5000,16.395810116464578,7.917434080638628,25.558267242004785
C,Retailer profit,Decrease,100.0,5000,41.06019730137319,20.806571898931676,60.73988615013825
